PheCode,Names,Short_names,Category_code,Category,Full_Category
276.5,Hypovolemia,Hypovolemia,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
295,Schizophrenia and other psychotic disorders,Schizophrenia and other psychotic disorders,5,mental disorders,mental disorders
474,Acute and chronic tonsillitis,Acute and chronic tonsillitis,9,respiratory,diseases of the respiratory system
530.1,"Esophagitis, GERD and related diseases","Esophagitis, GERD & related diseases",10,digestive,diseases of the digestive system
964,Poisoning by agents primarily affecting blood constituents,Poisoning by agents primarily affecting blood constituents,18,injuries & poisonings,injury and poisoning
1007,Injury to blood vessels,Injury to blood vessels,,,
650,Normal delivery,Normal delivery,,,
41.21,Rheumatic fever / chorea,Rheumatic fever / chorea,1,infectious diseases,infectious and parasitic diseases
151,Cancer of stomach,Stomach cancer,2,neoplasms,neoplasms
250.24,Type 2 diabetes with neurological manifestations,Type 2 diabetic neuropathy,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
255.21,Glucocorticoid deficiency,Glucocorticoid deficiency,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
277,Other disorders of metabolism,Other disorders of metabolism,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
710.19,Unspecified osteomyelitis,Unspecified osteomyelitis,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
260.22,Nutritional marasmus,Nutritional marasmus,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
260.3,Adult failure to thrive,Adult failure to thrive,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
536.8,Dyspepsia and other specified disorders of function of stomach,Dyspepsia and disorders of function of stomach,10,digestive,diseases of the digestive system
618.2,Uterine/Uterovaginal prolapse,Uterine/Uterovaginal prolapse,11,genitourinary,diseases of the genitourinary system
90.2,Gonococcal infections,Gonococcal infections,1,infectious diseases,infectious and parasitic diseases
221,Benign neoplasm of other female genital organs,Benign female genital neoplasms,2,neoplasms,neoplasms
457.2,Encounter for long-term (current) use of antiplatelets/antithrombotics,Encounter for long-term use of antiplatelets/antithrombotics,8,circulatory system,diseases of the circulatory system
740.11,"Osteoarthrosis, localized, primary","Osteoarthrosis; localized, primary",14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
275.2,Disorders of copper metabolism,Copper metabolism disorder,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
80,Postoperative infection,Postoperative infection,1,infectious diseases,infectious and parasitic diseases
153.2,Colon cancer,Colon cancer,2,neoplasms,neoplasms
198,Secondary malignant neoplasm,Secondary malignant neoplasm,2,neoplasms,neoplasms
255,Disorders of adrenal glands,Disorders of adrenal glands,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
557,Intestinal malabsorption (non-celiac),Intestinal malabsorption,10,digestive,diseases of the digestive system
627.21,Symptomatic artificial menopause,Symptomatic artificial menopause,11,genitourinary,diseases of the genitourinary system
305.2,Eating disorder,Eating disorder,5,mental disorders,mental disorders
557.1,Celiac disease,Celiac or tropical sprue,10,digestive,diseases of the digestive system
602.3,Dysplasia of prostate,Dysplasia of prostate,11,genitourinary,diseases of the genitourinary system
977,Personal history of allergy to medicinal agents,Personal history of allergy to medicinal agents,18,injuries & poisonings,injury and poisoning
70.2,Viral hepatitis B,Viral hepatitis B,1,infectious diseases,infectious and parasitic diseases
213,Benign neoplasm of bone and articular cartilage,Benign neoplasm of bone and articular cartilage,2,neoplasms,neoplasms
333.1,Essential tremor,Essential tremor,6,neurological,diseases of the nervous system
743.12,Senile osteoporosis,Senile osteoporosis,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
755.6,"Other congenital anomalies of lower limb, including pelvic girdle","Congenital anomalies of lower limb, including pelvic girdle",15,congenital anomalies,congenital anomalies
1001,Foreign body injury,Foreign body injury,,,
338,Pain,Pain,,,
473.3,Paralysis/spasm of vocal cords or larynx,Paralysis/spasm of vocal cords or larynx,9,respiratory,diseases of the respiratory system
752.1,Neural tube defects,Neural tub defects,15,congenital anomalies,congenital anomalies
681.3,Cellulitis and abscess of arm/hand,Cellulitis and abscess of arm,13,dermatologic,diseases of the skin and subcutaneous tissue
870,Open wounds of head; neck; and trunk,Open wounds of head; neck; and trunk,18,injuries & poisonings,injury and poisoning
242.1,Graves' disease,Graves' disease,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
317.1,Alcoholism,Alcoholism,5,mental disorders,mental disorders
756,Other congenital musculoskeletal anomalies,Congenital musculoskeletal anomalies,15,congenital anomalies,congenital anomalies
117,Mycoses,Mycoses,1,infectious diseases,infectious and parasitic diseases
270,Disorders of protein plasma/amino-acid transport and metabolism,Protein plasma/amino-acid transport and metabolism disorder,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
426.21,First degree AV block,First degree AV block,8,circulatory system,diseases of the circulatory system
446.6,Polyarteritis nodosa,Polyarteritis nodosa,8,circulatory system,diseases of the circulatory system
729.1,"Rheumatism, unspecified and fibrositis","Rheumatism, unspecified &] fibrositis",14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
352,Disorders of other cranial nerves,Disorders of other cranial nerves,6,neurological,diseases of the nervous system
906,Late effects of injuries to skin and subcutaneous tissues,Late effects of injuries to skin and subcutaneous tissues,,,
253.1,Pituitary hyperfunction,Pituitary hyperfunction,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
475,Chronic sinusitis,Chronic sinusitis,9,respiratory,diseases of the respiratory system
481,Influenza,Influenza,9,respiratory,diseases of the respiratory system
512.2,Painful respiration,Painful respiration,9,respiratory,diseases of the respiratory system
513.4,Hyperventilation,Hyperventilation,9,respiratory,diseases of the respiratory system
530,Diseases of esophagus,Diseases of esophagus,10,digestive,diseases of the digestive system
696.42,Psoriatic arthropathy,Psoriatic arthropathy,13,dermatologic,diseases of the skin and subcutaneous tissue
737,Curvature of spine,Curvature of spine,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
750.21,Congenital anomalies of intestine,Congenital anomalies of intestine,15,congenital anomalies,congenital anomalies
742.8,Articular cartilage disorder,Articular cartilage disorder,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
772.2,Spasm of muscle,Spasm of muscle,17,symptoms,"symptoms, signs, and ill-defined conditions"
202,"Cancer of other lymphoid, histiocytic tissue","Cancer of other lymphoid, histiocytic tissue",2,neoplasms,neoplasms
386.3,Labyrinthitis,Labyrinthitis,7,sense organs,diseases of the sense organs
452.8,Postphlebitic syndrome,Postphlebitic syndrome,8,circulatory system,diseases of the circulatory system
38.1,Gram negative septicemia,Gram negative septicemia,1,infectious diseases,infectious and parasitic diseases
451.2,Phlebitis and thrombophlebitis of lower extremities,Phlebitis and thrombophlebitis of lower extremities,8,circulatory system,diseases of the circulatory system
520,Disorders of tooth development,Disorders of tooth development,10,digestive,diseases of the digestive system
592.11,Acute cystitis,Acute cystitis,11,genitourinary,diseases of the genitourinary system
801.1,Fracture of foot,Fracture of foot,18,injuries & poisonings,injury and poisoning
975,Poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system,Poisoning by agents acting on muscles and respiratory system,18,injuries & poisonings,injury and poisoning
350.2,Abnormality of gait,Abnormality of gait,6,neurological,diseases of the nervous system
530.6,"Diverticulum of esophagus, acquired","Diverticulum of esophagus, acquired",10,digestive,diseases of the digestive system
735.2,Acquired toe deformities,Acquired toe deformities,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
255.2,Adrenal hypofunction,Adrenal hypofunction,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
558,Noninfectious gastroenteritis,Noninfectious gastroenteritis,10,digestive,diseases of the digestive system
695.2,Bullous dermatoses,Bullous dermatoses,13,dermatologic,diseases of the skin and subcutaneous tissue
704.12,Telogen effluvium,Telogen effluvium,13,dermatologic,diseases of the skin and subcutaneous tissue
528.12,Oral aphthae,Oral aphthae,10,digestive,diseases of the digestive system
705.1,Dyshidrosis,Dyshidrosis,13,dermatologic,diseases of the skin and subcutaneous tissue
791,Gangrene,Gangrene,17,symptoms,"symptoms, signs, and ill-defined conditions"
368,Visual disturbances,Visual disturbances,7,sense organs,diseases of the sense organs
377.1,Optic atrophy,Optic atrophy,7,sense organs,diseases of the sense organs
805,Fracture of vertebral column without mention of spinal cord injury,Fracture of vertebral column without mention of spinal cord injury,18,injuries & poisonings,injury and poisoning
799,Debility unspecified,Debility unspecified,,,
908,Late effects of other injuries,Late effects of other injuries,,,
295.2,Paranoid disorders,Paranoid disorders,5,mental disorders,mental disorders
345.12,Partial epilepsy,Partial epilepsy,6,neurological,diseases of the nervous system
348,Other conditions of brain,Other conditions of brain,6,neurological,diseases of the nervous system
592.12,Chronic cystitis,Chronic cystitis,11,genitourinary,diseases of the genitourinary system
716.8,Palindromic rheumatism,Palindromic rheumatism,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
635.3,Placenta previa and abruptio placenta,Placenta previa and abruptio placenta,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
729,Other disorders of soft tissues,Other disorders of soft tissues,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
250.11,Type 1 diabetes with ketoacidosis,Type 1 diabetic ketoacidosis,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
274.11,Gouty arthropathy,Gouty arthropathy,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
297.2,Suicide or self-inflicted injury,Suicide or self-inflicted injury,5,mental disorders,mental disorders
426.22,Mobitz II AV block,Mobitz II AV block,8,circulatory system,diseases of the circulatory system
346.3,Nonspecific abnormal findings in cerebrospinal fluid,Abnormal findings in cerebrospinal fluid,6,neurological,diseases of the nervous system
596.1,Bladder neck obstruction,Bladder neck obstruction,11,genitourinary,diseases of the genitourinary system
440.21,Atherosclerosis of native arteries of the extremities with ulceration or gangrene,Atherosclerosis of native arteries of the extremities with ulceration or gangrene,8,circulatory system,diseases of the circulatory system
611,Abnormal findings on mammogram or breast exam,Abnormal findings on mammogram or breast exam,11,genitourinary,diseases of the genitourinary system
637,Short gestation; low birth weight; and fetal growth retardation,Short gestation; low birth weight; and fetal growth retardation,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
771.2,Cramp of limb,Cramp of limb,17,symptoms,"symptoms, signs, and ill-defined conditions"
870.4,Open wound of nose and sinus,Open wound of nose and sinus,18,injuries & poisonings,injury and poisoning
250.6,Polyneuropathy in diabetes,Polyneuropathy in diabetes,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
252,Disorders of parathyroid gland,Disorders of parathyroid gland,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
285.3,Sideroblastic anemia,Sideroblastic anemia,4,hematopoietic,diseases of the blood and blood-forming organs
389.5,Disorders of acoustic nerve,Disorders of acoustic nerve,7,sense organs,diseases of the sense organs
711.2,Reiter's disease,Arthropathy in Reiter's disease,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
658,Maternal complication of pregnancy affecting fetus or newborn,Maternal complication of pregnancy affecting fetus or newborn,,,
262,Mineral deficiency NEC,Mineral deficiency NEC,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
368.5,Color vision deficiencies,Color vision deficiencies,7,sense organs,diseases of the sense organs
709.5,Dermatomyositis,Dermatomyositis,13,dermatologic,diseases of the skin and subcutaneous tissue
1011,Complications of surgical and medical procedures,surgical and medical procedures,,,
286.9,Abnormal coagulation profile,Abnormal coagulation profile,4,hematopoietic,diseases of the blood and blood-forming organs
296,Mood disorders,Mood disorders,5,mental disorders,mental disorders
395.1,Nonrheumatic mitral valve disorders,Nonrheumatic mitral valve disorders,8,circulatory system,diseases of the circulatory system
528.6,Leukoplakia of oral mucosa,Leukoplakia of oral mucosa,10,digestive,diseases of the digestive system
216,Benign neoplasm of skin,Benign neoplasm of skin,2,neoplasms,neoplasms
333.2,Myoclonus,Myoclonus,6,neurological,diseases of the nervous system
496.21,Obstructive chronic bronchitis,Obstructive chronic bronchitis,9,respiratory,diseases of the respiratory system
568,Other disorders of peritoneum,Other disorders of peritoneum,10,digestive,diseases of the digestive system
573.5,Jaundice (not of newborn),Jaundice,10,digestive,diseases of the digestive system
771,Musculoskeletal symptoms referable to limbs,Musculoskeletal symptoms referable to limbs,17,symptoms,"symptoms, signs, and ill-defined conditions"
639,Complications following abortion or ectopic and molar pregnancies,Complications following abortion or ectopic and molar pregnancies,,,
290.2,Delirium due to conditions classified elsewhere,Delirium due to conditions classified elsewhere,5,mental disorders,mental disorders
292.4,Altered mental status,Altered mental status,5,mental disorders,mental disorders
574.11,Cholelithiasis with acute cholecystitis,Cholelithiasis with acute cholecystitis,10,digestive,diseases of the digestive system
663,Umbilical cord complications during labor and delivery,Umbilical cord complications during labor and delivery,,,
377.3,Optic neuritis/neuropathy,Optic neuritis/neuropathy,7,sense organs,diseases of the sense organs
395.4,Nonrheumatic pulmonary valve disorders,Nonrheumatic pulmonary valve disorders,8,circulatory system,diseases of the circulatory system
447,Other disorders of arteries and arterioles,Other disorders of arteries and arterioles,8,circulatory system,diseases of the circulatory system
610.8,Other specified benign mammary dysplasias,Other specified benign mammary dysplasias,11,genitourinary,diseases of the genitourinary system
962.1,Adrenal cortical steroids causing adverse effects in therapeutic use,Adverse effects of adrenal cortical steroids,18,injuries & poisonings,injury and poisoning
249,Secondary diabetes mellitus,Secondary diabetes mellitus,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
275.11,Hereditary hemochromatosis,Hereditary hemochromatosis,4,hematopoietic,diseases of the blood and blood-forming organs
348.8,"Encephalopathy, not elsewhere classified",Encephalopathy,6,neurological,diseases of the nervous system
394.4,Acute rheumatic heart disease,Acute rheumatic heart disease,8,circulatory system,diseases of the circulatory system
527.2,Sialoadenitis,Sialoadenitis,10,digestive,diseases of the digestive system
41.2,Streptococcus infection,Streptococcus infection,1,infectious diseases,infectious and parasitic diseases
327.72,Sleep related leg cramps,Sleep related leg cramps,6,neurological,diseases of the nervous system
580.12,Non-proliferative glomerulonephritis,Non-proliferative glomerulonephritis,11,genitourinary,diseases of the genitourinary system
800.3,Fracture of tibia and fibula,Fracture of tibia and fibula,18,injuries & poisonings,injury and poisoning
458.9,Hypotension NOS,Hypotension NOS,8,circulatory system,diseases of the circulatory system
709.2,Sicca syndrome,Sicca syndrome,13,dermatologic,diseases of the skin and subcutaneous tissue
750.11,Esophageal atresia/tracheoesophageal fistula,Esophageal atresia/tracheoesophageal fistula,15,congenital anomalies,congenital anomalies
529.1,Glossitis,Glossitis,10,digestive,diseases of the digestive system
727.7,Contracture of tendon (sheath),Contracture of tendon,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
174.11,Malignant neoplasm of female breast,Breast cancer,2,neoplasms,neoplasms
327.31,Central/nonobstroctive sleep apnea,Central/nonobstroctive sleep apnea,6,neurological,diseases of the nervous system
361.1,Retinal detachment with retinal defect,Retinal detachment with retinal defect,7,sense organs,diseases of the sense organs
575.9,Nonspecific abnormal findings on radiological and other examination of biliary tract,Nonspecific abnormal findings on exam of biliary tract,10,digestive,diseases of the digestive system
8.52,Intestinal infection due to C. difficile,Intestinal infection due to C. difficile,1,infectious diseases,infectious and parasitic diseases
378.2,Nystagmus and other irregular eye movements,Nystagmus and other irregular eye movements,7,sense organs,diseases of the sense organs
418.1,Precordial pain,Precordial pain,8,circulatory system,diseases of the circulatory system
569.2,Gastrointestinal complications,Gastrointestinal complications,10,digestive,diseases of the digestive system
736.4,Genu valgum or varum (acquired),Genu valgum or varum (acquired),14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
803.2,Fracture of radius and ulna,Fracture of radius and ulna,18,injuries & poisonings,injury and poisoning
704,Diseases of hair and hair follicles,Diseases of hair and hair follicles,13,dermatologic,diseases of the skin and subcutaneous tissue
70.1,Viral hepatitis A,Viral hepatitis A,1,infectious diseases,infectious and parasitic diseases
191.11,Cancer of brain,Brain cancer,2,neoplasms,neoplasms
300.11,Generalized anxiety disorder,Generalized anxiety disorder,5,mental disorders,mental disorders
562,Diverticulosis and diverticulitis,Diverticulosis and diverticulitis,10,digestive,diseases of the digestive system
765,Cervical radiculitis,Cervical radiculitis,17,symptoms,"symptoms, signs, and ill-defined conditions"
428.4,Heart failure with preserved EF [Diastolic heart failure],Diastolic heart failure,8,circulatory system,diseases of the circulatory system
474.1,Acute tonsillitis,Acute tonsillitis,9,respiratory,diseases of the respiratory system
530.9,Heartburn,Heartburn,10,digestive,diseases of the digestive system
612.2,Hypertrophy of breast (Gynecomastia),Hypertrophy of breast (Gynecomastia),11,genitourinary,diseases of the genitourinary system
365.11,Primary open angle glaucoma,Primary open angle glaucoma,7,sense organs,diseases of the sense organs
459,Other disorders of circulatory system,Other disorders of circulatory system,8,circulatory system,diseases of the circulatory system
643,Excessive vomiting in pregnancy,Excessive vomiting in pregnancy,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
876,Posttraumatic wound infection not elsewhere classified,Posttraumatic wound infection,18,injuries & poisonings,injury and poisoning
70.4,Chronic hepatitis,Chronic hepatitis,1,infectious diseases,infectious and parasitic diseases
110.11,Dermatophytosis of nail,Dermatophytosis of nail,1,infectious diseases,infectious and parasitic diseases
386.1,Meniere's disease,Meniere's disease,7,sense organs,diseases of the sense organs
610.3,Fibrosclerosis of breast,Fibrosclerosis of breast,11,genitourinary,diseases of the genitourinary system
695.22,Pemphigus and pemphigoid,Pemphigus and pemphigoid,13,dermatologic,diseases of the skin and subcutaneous tissue
296.22,Major depressive disorder,Major depressive disorder,5,mental disorders,mental disorders
751.3,Obstructive genitourinary defect,Obstructive genitourinary defect,15,congenital anomalies,congenital anomalies
361,Retinal detachments and defects,Retinal detachments and defects,7,sense organs,diseases of the sense organs
531.2,Gastric ulcer,Gastric ulcer,10,digestive,diseases of the digestive system
562.2,Diverticulitis,Diverticulitis,10,digestive,diseases of the digestive system
564,Functional digestive disorders,Functional digestive disorders,10,digestive,diseases of the digestive system
587,Kidney replaced by transpant,Kidney replaced by transpant,11,genitourinary,diseases of the genitourinary system
636.8,Cervical incompetence,Cervical incompetence,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
571.5,Other chronic nonalcoholic liver disease,Chronic nonalcoholic liver disease,10,digestive,diseases of the digestive system
686.5,Pyoderma,Pyoderma,13,dermatologic,diseases of the skin and subcutaneous tissue
433.6,"Acute, but ill-defined cerebrovascular disease","Acute, but ill-defined cerebrovascular disease",8,circulatory system,diseases of the circulatory system
446.4,Wegener's granulomatosis,Wegener's granulomatosis,8,circulatory system,diseases of the circulatory system
505,Other pulmonary inflamation or edema,Other pulmonary inflamation or edema,9,respiratory,diseases of the respiratory system
525.1,Loss of teeth or edentulism,Loss of teeth or edentulism,10,digestive,diseases of the digestive system
588.2,Secondary hyperparathyroidism (of renal origin),Secondary hyperparathyroidism (of renal origin),11,genitourinary,diseases of the genitourinary system
420.1,Myocarditis,Myocarditis,8,circulatory system,diseases of the circulatory system
681.6,"Cellulitis and abscess of foot, toe",Cellulitis and abscess of foot/toes,13,dermatologic,diseases of the skin and subcutaneous tissue
755,Congenital anomalies of limbs,Congenital anomalies of limbs,15,congenital anomalies,congenital anomalies
521.2,"Dental abrasion, erosion and attrition","Dental abrasion, erosion and attrition",10,digestive,diseases of the digestive system
701.5,Abnormal granulation tissue,Abnormal granulation tissue,13,dermatologic,diseases of the skin and subcutaneous tissue
798,Malaise and fatigue,Malaise and fatigue,17,symptoms,"symptoms, signs, and ill-defined conditions"
687.2,"Localized superficial swelling, mass, or lump","Localized superficial swelling, mass, or lump",,,
565,Anal and rectal conditions,Anal and rectal conditions,10,digestive,diseases of the digestive system
585.3,Chronic renal failure [CKD],Chronic renal failure,11,genitourinary,diseases of the genitourinary system
724,Other and unspecified disorders of back,Other disorders of back,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
244.4,Hypothyroidism NOS,Hypothyroidism NOS,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
315.2,Speech and language disorder,Speech and language disorder,5,mental disorders,mental disorders
427.21,Atrial fibrillation,Atrial fibrillation,8,circulatory system,diseases of the circulatory system
428.1,Congestive heart failure (CHF) NOS,Congestive heart failure NOS,8,circulatory system,diseases of the circulatory system
695.42,Systemic lupus erythematosus,Systemic lupus erythematosus,13,dermatologic,diseases of the skin and subcutaneous tissue
706.8,Other specified diseases of sebaceous glands,Other specified diseases of sebaceous glands,13,dermatologic,diseases of the skin and subcutaneous tissue
727.5,Rupture of synovium,Rupture of synovium,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
909,Late effects of external causes,Late effects of external causes,,,
426.2,Atrioventricular [AV] block,AV block,8,circulatory system,diseases of the circulatory system
575.2,Obstruction of bile duct,Obstruction of bile duct,10,digestive,diseases of the digestive system
578.2,Blood in stool,Blood in stool,10,digestive,diseases of the digestive system
694.3,Vascular disorders of skin,Vascular disorders of skin,13,dermatologic,diseases of the skin and subcutaneous tissue
729.3,Panniculitis,Panniculitis,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
941,Adverse reaction to serum or vaccine,Allergy to serum or vaccine,18,injuries & poisonings,injury and poisoning
497,Bronchitis,Bronchitis,9,respiratory,diseases of the respiratory system
790.8,Elevated C-reactive protein (CRP),Elevated C-reactive protein,17,symptoms,"symptoms, signs, and ill-defined conditions"
182,Malignant neoplasm of uterus,Uterine cancer,2,neoplasms,neoplasms
112,Candidiasis,Candidiasis,1,infectious diseases,infectious and parasitic diseases
480.5,Bronchopneumonia and lung abscess,Bronchopneumonia and lung abscess,9,respiratory,diseases of the respiratory system
712,Infective connective tissue disorders,Infective connective tissue disorders,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
355.1,Chronic pain syndrome,Chronic pain syndrome,6,neurological,diseases of the nervous system
496.2,Chronic bronchitis,Chronic bronchitis,9,respiratory,diseases of the respiratory system
586.12,Vesicoureteral reflux,Vesicoureteral reflux,11,genitourinary,diseases of the genitourinary system
386,Vertiginous syndromes and other disorders of vestibular system,Vertiginous syndromes and other disorders of vestibular system,7,sense organs,diseases of the sense organs
535.6,Duodenitis,Duodenitis,10,digestive,diseases of the digestive system
263,Other nutritional deficiency,Other nutritional deficiency,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
389.2,Conductive hearing loss,Conductive hearing loss,7,sense organs,diseases of the sense organs
480.12,Pseudomonal pneumonia,Pseudomonal pneumonia,9,respiratory,diseases of the respiratory system
636.2,Early onset of delivery,Early onset of delivery,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
782.3,Edema,Edema,17,symptoms,"symptoms, signs, and ill-defined conditions"
204.4,Multiple myeloma,Multiple myeloma,2,neoplasms,neoplasms
285.1,Acute posthemorrhagic anemia,Acute posthemorrhagic anemia,4,hematopoietic,diseases of the blood and blood-forming organs
303.31,Gastrointestinal malfunction arising from mental factors,Gastrointestinal malfunction arising from mental factors,5,mental disorders,mental disorders
411.2,Myocardial infarction,Myocardial infarction,8,circulatory system,diseases of the circulatory system
624.1,Dystrophy of female genital tract,Dystrophy of female genital tract,11,genitourinary,diseases of the genitourinary system
241.2,Nontoxic multinodular goiter,Nontoxic multinodular goiter,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
654.2,Rhesus isoimmunization in pregnancy,Rhesus isoimmunization in pregnancy,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
259.8,Polyglandular activity in multiple endocrine adenomatosis,Polyglandular dysfunction and related disorders,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
281.1,Megaloblastic anemia,Megaloblastic anemia,4,hematopoietic,diseases of the blood and blood-forming organs
577.3,Cyst and pseudocyst of pancreas,Cyst and pseudocyst of pancreas,10,digestive,diseases of the digestive system
580.11,Proliferative glomerulonephritis,Proliferative glomerulonephritis,11,genitourinary,diseases of the genitourinary system
695.9,Unspecified erythematous condition,Unspecified erythematous condition,13,dermatologic,diseases of the skin and subcutaneous tissue
738,Other acquired musculoskeletal deformity,Other acquired musculoskeletal deformity,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
306.9,Tension headache,Tension headache,5,mental disorders,mental disorders
379.5,Disorders of iris and ciliary body,Disorders of iris and ciliary body,7,sense organs,diseases of the sense organs
738.4,Acquired spondylolisthesis,Acquired spondylolisthesis,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
480.1,Bacterial pneumonia,Bacterial pneumonia,9,respiratory,diseases of the respiratory system
530.11,GERD,GERD,10,digestive,diseases of the digestive system
740.12,"Osteoarthrosis, localized, secondary","Osteoarthrosis; localized, secondary",14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
282,Hereditary hemolytic anemias,Hereditary hemolytic anemias,4,hematopoietic,diseases of the blood and blood-forming organs
286.11,Von willebrand's disease,Von willebrand's disease,4,hematopoietic,diseases of the blood and blood-forming organs
735.23,Hallux rigidus,Hallux rigidus,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
110.13,Dermatophytosis of the body,Dermatophytosis of the body,1,infectious diseases,infectious and parasitic diseases
250.15,Diabetes type 1 with peripheral circulatory disorders,Type 1 diabetic peripheral circulatory disorders,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
276.12,Hyposmolality and/or hyponatremia,Hyposmolality and/or hyponatremia,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
619.4,Noninflammatory disorders of vagina,Noninflammatory disorders of vagina,11,genitourinary,diseases of the genitourinary system
695.4,Lupus (localized and systemic),Discoid lupus erythematosus,13,dermatologic,diseases of the skin and subcutaneous tissue
276.4,Acid-base balance disorder,Acid-base balance disorder,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
371.1,"Uveitis, noninfectious or NOS",Uveitis,7,sense organs,diseases of the sense organs
579,Other symptoms involving abdomen and pelvis,Other symptoms involving abdomen and pelvis,10,digestive,diseases of the digestive system
737.1,Kyphosis (acquired),Kyphosis (acquired),14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
79.2,Infectious mononucleosis,Infectious mononucleosis,1,infectious diseases,infectious and parasitic diseases
366.3,Traumatic cataract,Traumatic cataract,7,sense organs,diseases of the sense organs
381.9,Otorrhea,Otorrhea,7,sense organs,diseases of the sense organs
586,Other disorders of the kidney and ureters,Disorders of the kidney & ureters,11,genitourinary,diseases of the genitourinary system
979,Adverse drug events and drug allergies,Adverse drug events and drug allergies,18,injuries & poisonings,injury and poisoning
190,Cancer of eye,Cancer of eye,2,neoplasms,neoplasms
385.3,Cholesteatoma,Cholesteatoma,7,sense organs,diseases of the sense organs
580.1,Glomerulonephritis,Glomerulonephritis,11,genitourinary,diseases of the genitourinary system
611.3,Lump or mass in breast,Lump or mass in breast,11,genitourinary,diseases of the genitourinary system
649.1,Diabetes or abnormal glucose tolerance complicating pregnancy,Gestational diabetes,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
197,Chemotherapy,Chemotherapy,2,neoplasms,neoplasms
374,Other disorders of eyelids,Other disorders of eyelids,7,sense organs,diseases of the sense organs
480.2,Viral pneumonia,Viral pneumonia,9,respiratory,diseases of the respiratory system
704.2,Hirsutism,Hirsutism,13,dermatologic,diseases of the skin and subcutaneous tissue
362,Other retinal disorders,Retinal disorders,7,sense organs,diseases of the sense organs
710.12,Chronic osteomyelitis,Chronic osteomyelitis,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
727.8,Plica syndrome,Plica syndrome,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
